Unnamed: 0,count,hate_speech,offensive_language,neither,class,tweet,clean_tweet
10,3,0,3,0,1,""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh",""" keeks is a bitch she curves everyone "" lol i walked into a conversation like this . smh"
11,3,0,3,0,1,""" Murda Gang bitch its Gang Land """,""" murda gang bitch its gang land """
12,3,0,2,1,1,""" So hoes that smoke are losers ? "" yea ... go on IG",""" so hoes that smoke are losers ? "" yea . <repeat> go on ig"
13,3,0,3,0,1,""" bad bitches is the only thing that i like """,""" bad bitches is the only thing that i like """
14,3,1,2,0,1,""" bitch get up off me """,""" bitch get up off me """
15,3,0,3,0,1,""" bitch nigga miss me with it """,""" bitch nigga miss me with it """
16,3,0,3,0,1,""" bitch plz whatever """,""" bitch plz whatever """
17,3,1,2,0,1,""" bitch who do you love """,""" bitch who do you love """
18,3,0,3,0,1,""" bitches get cut off everyday B """,""" bitches get cut off everyday b """
19,3,0,3,0,1,""" black bottle &amp; a bad bitch """,""" black bottle &amp ; a bad bitch """
20,3,0,3,0,1,""" broke bitch cant tell me nothing """,""" broke bitch cant tell me nothing """
21,3,0,3,0,1,""" cancel that bitch like Nino """,""" cancel that bitch like nino """
22,3,0,3,0,1,""" cant you see these hoes wont change """,""" cant you see these hoes wont change """
23,3,0,3,0,1,""" fuck no that bitch dont even suck dick "" &#128514;&#128514;&#128514; the Kermit videos bout to fuck IG up",""" fuck no that bitch dont even suck dick "" &#<number> ;&#<number> ;&#<number> ; the kermit videos bout to fuck ig  <allcaps> up"
24,3,0,3,0,1,""" got ya bitch tip toeing on my hardwood floors "" &#128514; http://t.co/cOU2WQ5L4q",""" got ya bitch tip toeing on my hardwood floors "" &#<number> ; <url>"
25,3,0,2,1,1,""" her pussy lips like Heaven doors "" &#128524;",""" her pussy lips like heaven doors "" &#<number> ;"
26,3,0,3,0,1,""" hoe what its hitting for """,""" hoe what its hitting for """
27,3,0,3,0,1,""" i met that pussy on Ocean Dr . i gave that pussy a pill "" &#128524;",""" i met that pussy on ocean dr . i gave that pussy a pill "" &#<number> ;"
28,3,0,3,0,1,""" i need a trippy bitch who fuck on Hennessy """,""" i need a trippy bitch who fuck on hennessy """
29,3,0,3,0,1,""" i spend my money how i want bitch its my business """,""" i spend my money how i want bitch its my business """
30,3,0,3,0,1,""" i txt my old bitch my new bitch pussy wetter """,""" i txt my old bitch my new bitch pussy wetter """
31,3,0,3,0,1,""" i'd say im back to the old me but my old bitches would get excited "" &#128524;",""" i'd say im back to the old me but my old bitches would get excited "" &#<number> ;"
32,3,0,3,0,1,""" if you aint bout that Murder Game pussy nigga shut up """,""" if you aint bout that murder game pussy nigga shut up """
33,3,0,3,0,1,""" if you're toes ain't done you pussy stinks """,""" if you're toes ain't done you pussy stinks """
34,3,0,3,0,1,""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """,""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """
35,3,0,3,0,1,""" is that ya bitch """,""" is that ya bitch """
36,3,0,3,0,1,""" it aint nothing to cut a bitch off """,""" it aint nothing to cut a bitch off """
37,3,0,3,0,1,""" jus meet son now he ya mane ass bitches "" #Shots",""" jus meet son now he ya mane ass bitches "" <hashtag> shots"
38,3,0,2,1,1,""" lames crying over hoes thats tears of a clown """,""" lames crying over hoes thats tears of a clown """
39,3,0,3,0,1,""" like Snoop said in 94 we dont love these hoes """,""" like snoop said in <number> we dont love these hoes """
40,3,0,1,2,2,""" momma said no pussy cats inside my doghouse """,""" momma said no pussy cats inside my doghouse """
41,3,0,3,0,1,""" most hated but the hoes favorite "" #2MW #SevenOne # http://t.co/BMdSVMc3rC",""" most hated but the hoes favorite "" #<number>mw <hashtag> seven one # <url>"
42,3,0,3,0,1,""" nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick"" http://t.co/bzRDl3kF7U",""" nice girls bad , make me get naughty . bad yello hoe , real nice body . down south chick , like em real thick"" <url>"
43,3,0,3,0,1,""" pimps up pimps up hoes down "" Future voice",""" pimps up pimps up hoes down "" future voice"
44,3,0,3,0,1,""" post a picture of that pussy get 200 likes """,""" post a picture of that pussy get <number> likes """
45,3,0,3,0,1,""" pussy is a powerful drug "" &#128517; #HappyHumpDay http://t.co/R8jsymiB5b",""" pussy is a powerful drug "" &#<number> ; <hashtag> happy hump day <url>"
46,3,0,3,0,1,""" quick piece of pussy call it a drive by """,""" quick piece of pussy call it a drive by """
47,3,0,3,0,1,""" running round here like some brand new pussy thats bout to get fucked """,""" running round here like some brand new pussy thats bout to get fucked """
48,3,0,3,0,1,""" these bitches even worst they'll send them guys for you """,""" these bitches even worst they'll send them guys for you """
49,3,1,2,0,1,""" these hoes like niggas that spend money not talk bout it """,""" these hoes like niggas that spend money not talk bout it """
50,3,1,2,0,1,""" we dont trust these niggas all these bitches """,""" we dont trust these niggas all these bitches """
51,3,0,3,0,1,""" yall niggas b cuffing hoes cause yall aint never have bitches """,""" yall niggas b cuffing hoes cause yall aint never have bitches """
52,3,0,3,0,1,""" you dodge a bullet "" &#128517; &#8220;@DaRealKha: ""All da bitches I cut off pregnant or bound to be ....thank God &#128591;""&#8221;",""" you dodge a bullet "" &#<number> ; &#<number> ;<user> : ""all da bitches i cut off pregnant or bound to be . <repeat>thank god &#<number> ;""&#<number> ;"
53,3,0,3,0,1,""" young Pill Chamberlain these bitches love my music """,""" young pill chamberlain these bitches love my music """
54,3,0,2,1,1,"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@VandalSavage_: Teanna Trump probably cleaner than most of these twitter hoes but.........""","""&#<number> ;&#<number> ;&#<number> ;&#<number> ;&#<number> ;&#<number> ;&#<number> ;&#<number> ;&#<number> ;&#<number> ;&#<number> ;<user> : teanna trump probably cleaner than most of these twitter hoes but . <repeat>"""
55,3,0,3,0,1,"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@DaHomieFuzz: Gay niggas couldn't wait to act like bitches tonight""","""&#<number> ;&#<number> ;&#<number> ;&#<number> ;&#<number> ;&#<number> ;&#<number> ;&#<number> ;&#<number> ;&#<number> ;<user> : gay niggas couldn't wait to act like bitches tonight"""
56,3,0,3,0,1,"""&#128514;&#128514;&#128514;@The_Paradox: And ima steal his cat n replace it with a pitbull &#128514;&#128514;&#128514;&#128514; RT @80sbaby4life: @The_Paradox He a bitch you should do it""","""&#<number> ;&#<number> ;&#<number> ;<user> : and ima steal his cat n replace it with a pitbull &#<number> ;&#<number> ;&#<number> ;&#<number> ; rt  <allcaps> <user> : <user> he a bitch you should do it"""
57,3,0,3,0,1,"""&amp; he's gone always be a hoe""","""&amp ; he's gone always be a hoe"""
58,3,0,3,0,1,"""...Son of a bitch took my Tic Tacs.""

I like this movie.",""". <repeat>son of a bitch took my tic tacs .""

i like this movie ."
59,3,0,3,0,1,"""..All I wanna do is get money and fuck model bitches!"" - Russell Simmons",""". <repeat>all i wanna do is get money and fuck model bitches !"" - russell simmons"
60,3,0,2,1,1,"""@2015seniorprobs: I probably wouldn&#8217;t mind school as much if we didn&#8217;t have to deal with bitch ass teachers"". Retweet","""<user> : i probably wouldn&#<number> ;t mind school as much if we didn&#<number> ;t have to deal with bitch ass teachers"". retweet"
61,3,0,3,0,1,"""@A7XDemery: I'm a fucking fag they said""","""<user> : i'm a fucking fag they said"""
62,3,0,3,0,1,"""@ARIZZLEINDACUT: Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz"" how does doing this stuff make him a pussy?","""<user> : females think dating a pussy is cute now ? <url>"" how does doing this stuff make him a pussy ?"
63,3,0,0,3,2,"""@Addicted2Guys: -SimplyAddictedToGuys http://t.co/1jL4hi8ZMF"" woof woof hot scally lad","""<user> : -simplyaddictedtoguys <url>"" woof woof hot scally lad"
64,3,0,3,0,1,"""@AdoreBellaaa: Have ya ever asked your bitch for other bitches - kanye voice"" Yes","""<user> : have ya ever asked your bitch for other bitches - kanye voice"" yes"
65,3,0,3,0,1,"""@AdoreZoey: How u gone bring ur side bitch to a game where You know Ya gf friends at ?! &#128553;&#128553;&#128553;&#128553;"" I SWEAR!!!!!","""<user> : how u gone bring ur side bitch to a game where you know ya gf friends at ! <repeat> &#<number> ;&#<number> ;&#<number> ;&#<number> ;"" i swear  <allcaps> ! <repeat>"
66,3,0,1,2,2,"""@AllAboutManFeet: http://t.co/3gzUpfuMev"" woof woof and hot soles","""<user> : <url>"" woof woof and hot soles"
67,3,0,1,2,2,"""@Allyhaaaaa: Lemmie eat a Oreo &amp; do these dishes."" One oreo? Lol","""<user> : lemmie eat a oreo &amp ; do these dishes ."" one oreo ? lol"
68,3,0,3,0,1,"""@Almightywayne__: @JetsAndASwisher @Gook____ bitch fuck u http://t.co/pXmGA68NC1"" maybe you'll get better. Just http://t.co/TPreVwfq0S","""<user> : <user> <user> bitch fuck u <url>"" maybe you'll get better . just <url>"
69,3,1,2,0,1,"""@Almightywayne__: Fuck Red Malone man bitch ass niggah"" could you please use complete sentences?","""<user> : fuck red malone man bitch ass niggah"" could you please use complete sentences ?"
70,3,0,0,3,2,"""@ArizonasFinest6: Why the eggplant emoji doe?""y he say she looked like scream lmao","""<user> : why the eggplant emoji doe ?""y he say she looked like scream lmao"
71,3,0,3,0,1,"""@AutoWorId: Hennessey Venom GT &#128584; http://t.co/i8eGMnKaJ9"" that's one sexy bitch","""<user> : hennessey venom gt  <allcaps> &#<number> ; <url>"" that's one sexy bitch"
72,3,0,3,0,1,"""@BOSSBYTCHH: Him seh me pussy wetter then a shower curtain....#ahmesehwetness""&lt;lmao!!","""<user> : him seh me pussy wetter then a shower curtain . <repeat><hashtag> ahmesehwetness""&lt<neutralface>mao ! <repeat>"
73,3,0,3,0,1,"""@BRO_HEN314: #Eaglesnation and every #Eagles need to see that pic I just posted because that bitch just said the most racist shit""","""<user> : <hashtag> eaglesnation and every <hashtag> eagles need to see that pic i just posted because that bitch just said the most racist shit"""
74,3,1,2,0,1,"""@BVSEDCHINK: Yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life http://t.co/VBCzP6HMT7""
@AmJemieBenn","""<user> : yo fuck skateboarding , all y'all some wood pushing faggots man , ball is life <url>""
<user>"
75,3,0,1,2,2,"""@BabyAnimalPics: baby monkey bathtime http://t.co/7KPWAdLF0R""
Awwwwe! This is soooo ADORABLE!","""<user> : baby monkey bathtime <url>""
awwwwe ! this is so <elong> adorable  <allcaps> !"
76,3,0,3,0,1,"""@BaylaaGottaBody: &#128514;&#128514;&#128514;&#128514; I ain't shit ."" Damn Skippy lol","""<user> : &#<number> ;&#<number> ;&#<number> ;&#<number> ; i ain't shit ."" damn skippy lol"
77,3,1,2,0,1,"""@BeEasyJrizzy: u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""No bs must b &gt;30%chance","""<user> : u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""no bs must b &gt ;<number>%chance"
78,3,0,3,0,1,"""@BeenBasedB: @_KudaBrazyy http://t.co/LuUBGL9Y5u"" 0 rings 0 mvps 0 bitches lol","""<user> : <user> <url>"" <number> rings <number> mvps <number> bitches lol"
79,3,1,2,0,1,"""@BeenFLYnSolo: ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !""","""<user> : ppl talk bad about the ghetto / hood . <repeat> but as a kid growing up , a nigga had fun <elong> !"""
80,9,0,7,2,1,"""@BestProAdvice: The facts on tattoos...tattoo http://t.co/ZwnbhpDZ8e"" he's a pussy with not tattooing them nipples","""<user> : the facts on tattoos . <repeat>tattoo <url>"" he's a pussy with not tattooing them nipples"
81,3,0,3,0,1,"""@Bill215_: &#128175;&#128175;&#128175; RT @nel_ayden Bitches be wanting to act like niggas so bad &#128553;&#128553;&#128553; that shit aint cuteeeee"" but niggas act like bitches..","""<user> : &#<number> ;&#<number> ;&#<number> ; rt  <allcaps> <user> bitches be wanting to act like niggas so bad &#<number> ;&#<number> ;&#<number> ; that shit aint cute <elong>"" but niggas act like bitches . <repeat>"
82,3,0,3,0,1,"""@BitchJones92: Get worshiping bitch! http://t.co/R37CejCjou"" woof woof","""<user> : get worshiping bitch ! <url>"" woof woof"
83,3,1,2,0,1,"""@BlackChiquitita: Wow. RT @thatmanpalmer I'm lost. Are those buttcheek piercings? http://t.co/yn6guyOUQ6"" yeah she's a hoe","""<user> : wow . rt  <allcaps> <user> i'm lost . are those buttcheek piercings ? <url>"" yeah she's a hoe"
84,3,0,3,0,1,"""@BlackNerdJade: Ok, sis."" She'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her","""<user> : ok , sis ."" she'd rather be a broke bitch ? *shrugs* she'll have to tell me how it works for her"
85,3,2,1,0,0,"""@Blackman38Tide: @WhaleLookyHere @HowdyDowdy11 queer"" gaywad","""<user> : <user> <user> queer"" gaywad"
87,3,0,3,0,1,"""@BrokenPiecesmsc: @ItsNotAdam faggot read my tweets after dat k"" it wasn't even funny lol","""<user> : <user> faggot read my tweets after dat k"" it wasn't even funny lol"
88,3,0,3,0,1,"""@BrosConfessions: This bitch was so ungrateful http://t.co/06e77bGwbx"" fr ..... LULWHORE","""<user> : this bitch was so ungrateful <url>"" fr . <repeat> lulwhore"
89,3,0,3,0,1,"""@CASHandBOOBIES: I been kidnapped yo bitch""","""<user> : i been kidnapped yo bitch"""
90,3,3,0,0,0,"""@CB_Baby24: @white_thunduh alsarabsss"" hes a beaner smh you can tell hes a mexican","""<user> : <user> alsarabs <elong>"" hes a beaner smh you can tell hes a mexican"
91,3,1,2,0,1,"""@CCobey: @AydanMcCoy happy birthday nigs"" Thanks yo","""<user> : <user> happy birthday nigs"" thanks yo"
92,6,1,5,0,1,"""@CHlLDHOODRUINER: when ur teacher tells u that u have homework https://t.co/RKk5vawIj1"" this bitch need to go!!!","""<user> : when ur teacher tells u that u have homework <url>"" this bitch need to go ! <repeat>"
93,3,1,2,0,1,"""@CaelanG15: ""@22EdHam: @CaelanG15 that nigga was eating that hoe lol"" Hell Yea lol john Paul"" nigga said john paul.. http://t.co/OSIpBKPr9h","""<user> : ""<user> : <user> that nigga was eating that hoe lol"" hell yea lol john paul"" nigga said john paul . <repeat> <url>"
94,3,0,3,0,1,"""@CanIFuckOrNah: What would y'all lil ugly bald headed bitches do if they stop making make-up &amp; weave?""","""<user> : what would y'all lil ugly bald headed bitches do if they stop making make-up &amp ; weave ?"""
95,3,1,2,0,1,"""@CarelessOne92: Leafs better win this damn game so I can go riot and shit #EarlyChristmas"" you better start looting my nig","""<user> : leafs better win this damn game so i can go riot and shit <hashtag> early christmas"" you better start looting my nig"
96,3,0,3,0,1,"""@CauseWereGuys: Going back to school sucks more dick than the hoes who attend it.""","""<user> : going back to school sucks more dick than the hoes who attend it ."""
97,3,0,3,0,1,"""@CauseWereGuys: On my way to fuck yo bitch http://t.co/j906T5zE2R"" me as a 9 year old","""<user> : on my way to fuck yo bitch <url>"" me as a <number> year old"
98,3,0,3,0,1,"""@CeleyNichole: @white_thunduh how come you never bring me food"" i dont have a car retard","""<user> : <user> how come you never bring me food"" i dont have a car retard"
99,3,0,3,0,1,"""@ChadMFVerbeck: If Richnow doesn't show up with hella tinder hoes Im not his friend anymore"" chill I brought like like 8 prople","""<user> : if richnow doesn't show up with hella tinder hoes im not his friend anymore"" chill i brought like like <number> prople"
100,3,1,2,0,1,"""@ChandlerParsons: How bout them Cowboys!!!!"" Shutup pussy","""<user> : how bout them cowboys ! <repeat>"" shutup pussy"
101,3,0,3,0,1,"""@ClicquotSuave: LMAOOOOOOOOOOO this nigga @Krillz_Nuh_Care http://t.co/AAnpSUjmYI"" &lt;bitch want likes for some depressing shit..foh","""<user> : lmao  <allcaps> <elong> this nigga <user> <url>"" &lt ;bitch want likes for some depressing shit . <repeat>foh"
102,3,0,3,0,1,"""@Coley_Cee: @lil_aerii girl you know I was spitting that G shit to you &amp; you was going lbvs""bitch plz","""<user> : <user> girl you know i was spitting that g shit to you &amp ; you was going lbvs""bitch plz"
103,3,0,3,0,1,"""@Coley_Cee: Let me make a couple tweets off cuzzo page, so I won't get in twitter jail.""lmao bitch don't trick me again","""<user> : let me make a couple tweets off cuzzo page , so i won't get in twitter jail .""lmao bitch don't trick me again"
104,3,0,2,1,1,"""@ComedyPosts: Harlem shake is just an excuse to go full retard for 30 seconds.""","""<user> : harlem shake is just an excuse to go full retard for <number> seconds ."""
105,3,0,3,0,1,"""@ComedyTruth: amen miley &#128591; http://t.co/P2Kb2tfyxr""okay, but she don't need to act like a hoe just bc she's ""emotionally damaged"" foh","""<user> : amen miley &#<number> ; <url> , but she don't need to act like a hoe just bc she's ""emotionally damaged"" foh"
106,3,0,3,0,1,"""@CoryBandz: having one loyal female is wayyyyy better than having hoes , idc &#128175;""","""<user> : having one loyal female is way <elong> better than having hoes , idc &#<number> ;"""
107,3,0,3,0,1,"""@Crhedrys: Pussy licking pussy.... meow meow #StopWhitePeople2014 &#128049; https://t.co/KeegDCjS5K&#8221;""""""""

&#128533;","""<user> : pussy licking pussy . <repeat> meow meow <hashtag> stop white people<number> &#<number> ; <url> ;""""""""

&#<number> ;"
108,3,0,3,0,1,"""@DBAB_Holloway: Check out our 12th man. #CowboysNation"" even with all those faggot ny fans in the stands","""<user> : check out our <number>th man . <hashtag> cowboys nation"" even with all those faggot ny fans in the stands"
109,3,0,3,0,1,"""@DGotBricks: What happen to them vixen ent bitches"" they got ran and threw to the side like a foothill bitch","""<user> : what happen to them vixen ent bitches"" they got ran and threw to the side like a foothill bitch"
110,3,0,3,0,1,"""@DaeDaviDavie: @white_thunduh im the bitch okay nudes pat &#128554;&#128527;&#128056;"" wow","""<user> : <user> im the bitch okay nudes pat &#<number> ;&#<number> ;&#<number> ;"" wow"
111,3,3,0,0,0,"""@DevilGrimz: @VigxRArts you're fucking gay, blacklisted hoe"" Holding out for #TehGodClan anyway http://t.co/xUCcwoetmn","""<user> : <user> you're fucking gay , blacklisted hoe"" holding out for <hashtag> teh god clan anyway <url>"
112,3,0,3,0,1,"""@DiamondLoudKush: The fuck be wrong with these bitches?"" Nobody knows","""<user> : the fuck be wrong with these bitches ?"" nobody knows"
113,3,0,3,0,1,"""@Dietrich1892: Yall shut up:p"" make me bitch","""<user> : yall shut up<lolface>"" make me bitch"
114,3,1,2,0,1,"""@DionaIrish: I hate a ""I'm pregnant"" type of bitch.""","""<user> : i hate a ""i'm pregnant"" type of bitch ."""
115,3,0,3,0,1,"""@DoYou_Q: Got bitches in the DM but I don't ever read'em"" which is y your top 3","""<user> : got bitches in the dm  <allcaps> but i don't ever read'em"" which is y your top <number>"
116,3,0,0,3,2,"""@DomWorldPeace: Baseball season for the win. #Yankees"" This is where the love started","""<user> : baseball season for the win . <hashtag> yankees"" this is where the love started"
117,3,0,3,0,1,"""@Dommoneek: Little stupid as bitch I don't fuck with yoooooouuuu..""","""<user> : little stupid as bitch i don't fuck with yoooooou <elong> . <repeat>"""
118,3,0,3,0,1,"""@DreadheadAri: she really asked me that dead ass serious tho, all i could say was ""bitch wheet"" LOL","""<user> : she really asked me that dead ass serious tho , all i could say was ""bitch wheet"" lol"
119,3,0,0,3,2,"""@DunderbaIl: I'm an early bird and I'm a night owl, so I'm wise and have worms.""","""<user> : i'm an early bird and i'm a night owl , so i'm wise and have worms ."""
120,3,0,1,2,2,"""@EdgarPixar: Overdosing on heavy drugs doesn't sound bad tonight."" I do that pussy shit every day.","""<user> : overdosing on heavy drugs doesn't sound bad tonight ."" i do that pussy shit every day ."
121,3,0,0,3,2,"""@El_Grillo1: Pit Bulls Photographed As Lovely Fairy Tale Creatures http://t.co/Q0Sm89oOLh&#8221;

They *are* fairy tale creatures.","""<user> : pit bulls photographed as lovely fairy tale creatures <url> ;

they *are* fairy tale creatures ."
122,3,0,3,0,1,"""@Ferocious_Ghost: @1stName_Bravo Aw."" ...fag, don't tweet ""aw"" to me lol","""<user> : <user> aw ."" . <repeat>fag , don't tweet ""aw"" to me lol"
123,3,0,0,3,2,"""@FloKid88: As long as the Lakers trash from now on, I could careless. And that's real."". CC: @BENBALLER hahaha","""<user> : as long as the lakers trash from now on , i could careless . and that's real ."". cc  <allcaps> : <user> hahaha"
124,3,0,3,0,1,"""@Frosstyy_: @h0rheyd I didn't say anything tho"" kiss me then faggot","""<user> : <user> i didn't say anything tho"" kiss me then faggot"
125,3,0,0,3,2,"""@FunnyPicsDepot: this the ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/ZUai7qWBIR"" &#128514; yup","""<user> : this the ""i play soccer , cheat on girls , and wear khaki coloured cargos"" haircut <url>"" &#<number> ; yup"
126,3,0,3,0,1,"""@G27Status: I could go for a fat ass bitch on my lap"" same","""<user> : i could go for a fat ass bitch on my lap"" same"
127,3,0,3,0,1,"""@GEDMelle: 17 missed calls!!!! &#128544;&#128545;""Das yo P.O bitch twitter finna be screamn #FreeMoneyMelle","""<user> : <number> missed calls ! <repeat> &#<number> ;&#<number> ;""das yo p .o bitch twitter finna be screamn <hashtag> free money melle"
128,6,0,6,0,1,"""@GTM_Al: Ya side bitch gotta know it's rules to this shit..anybody ask you my cousin from jersey thinkin bout moving"" lmmfao &#128514;&#128514;&#128514;&#128514;","""<user> : ya side bitch gotta know it's rules to this shit . <repeat>anybody ask you my cousin from jersey thinkin bout moving"" lmmfao &#<number> ;&#<number> ;&#<number> ;&#<number> ;"
129,3,0,3,0,1,"""@GagaTom1: &#8220;@MaleFoot: 3 | Amo los pies http://t.co/4QE1hDkK8i&#8221;"" fuck yeah","""<user> : &#<number> ;<user> : <number> | amo los pies <url> ;"" fuck yeah"
130,3,0,3,0,1,"""@GirlThatsVonte: These hoes be thinking Meat won't slap they ass &#128564;&#128075;"" ainna bruh","""<user> : these hoes be thinking meat won't slap they ass &#<number> ;&#<number> ;"" ainna bruh"
131,3,0,3,0,1,"""@GirlThatsVonte: Yall bitches wit no edges be doing the most talking &#128553;&#128564;&#9995;""&#128514;&#128514;&#128514;","""<user> : yall bitches wit no edges be doing the most talking &#<number> ;&#<number> ;&#<number> ;""&#<number> ;&#<number> ;&#<number> ;"
132,3,0,3,0,1,"""@GirlThatsVonte: Yall still going trick or treating this year or nah?""hell yeah ima be da sweet tooth bandit steal bitches bags n shit","""<user> : yall still going trick or treating this year or nah ?""hell yeah ima be da sweet tooth bandit steal bitches bags n shit"
133,3,0,3,0,1,"""@Girllssues: I wanna have sex with my mom fuck her right in that pussy where I came from"" damn you got hacked like fuck","""<user> : i wanna have sex with my mom fuck her right in that pussy where i came from"" damn you got hacked like fuck"
134,6,0,6,0,1,"""@Gizzy_Jones94: If she kiss u with her eyes open watch that bitch!""lmfao","""<user> : if she kiss u with her eyes open watch that bitch !""lmfao"
135,3,0,3,0,1,"""@Goofstroop: You a woulda coulda shoulda ass hoe &#128563;&#128586;""","""<user> : you a woulda coulda shoulda ass hoe &#<number> ;&#<number> ;"""
136,3,0,3,0,1,"""@Gotti_LTF: Happy Bday Bitch Ass Nigga @JetsAndASwisher""preciate that bitch roll up!","""<user> : happy bday bitch ass nigga <user>""preciate that bitch roll up !"
137,3,0,3,0,1,"""@HBMostDope: @1Jayee @PipinHoes used to send that bitch up""","""<user> : <user> <user> used to send that bitch up"""
138,6,0,6,0,1,"""@HBMostDope: Ugly bitches be like I'm my own WCW duh bitch you ain't nobody elses&#128514;&#128514;""","""<user> : ugly bitches be like i'm my own wcw  <allcaps> duh bitch you ain't nobody elses&#<number> ;&#<number> ;"""
139,3,1,2,0,1,"""@HaloTGMG: @1stName_Bravo nigga you know we hacky sack hoes."" ...nah, I throw no look passes lmao","""<user> : <user> nigga you know we hacky sack hoes ."" . <repeat>nah , i throw no look passes lmao"
141,3,1,2,0,1,"""@HeartlessFuck: Glad I'm getting outta Atlanta. Nothing but a bunch of niggas in &amp; outta jail &amp; dumb bitches with mad kids fuckin em.""","""<user> : glad i'm getting outta atlanta . nothing but a bunch of niggas in &amp ; outta jail &amp ; dumb bitches with mad kids fuckin em ."""
142,3,0,1,2,2,"""@HermosaAlma: This isn't ghetto.....it's smart https://t.co/MPAzQ3Jswf"" I'm doing this idc","""<user> : this isn't ghetto . <repeat>it's smart <url>"" i'm doing this idc"
143,3,0,2,1,1,"""@HiImJoriB: I would wife a hoe only cuz we wouldn't care that we cheating in each other."" ...why force the relationship in the first place?","""<user> : i would wife a hoe only cuz we wouldn't care that we cheating in each other ."" . <repeat>why force the relationship in the first place ?"
144,3,0,3,0,1,"""@HornyFacts: Being single isn't an excuse to be a hoe."" @TheOneMiss_Luu","""<user> : being single isn't an excuse to be a hoe ."" <user>"
145,3,1,2,0,1,"""@HoskinsTy96: White boy power bitch"" black power bitch","""<user> : white boy power bitch"" black power bitch"
146,3,0,3,0,1,"""@Hudgens_11: Lets get drunk, get blowed, spit shit spark blunts &amp; fuck hoes!"" Bro white dudes have no chill.","""<user> : lets get drunk , get blowed , spit shit spark blunts &amp ; fuck hoes !"" bro white dudes have no chill ."
147,3,0,3,0,1,"""@IScoutGirls: @verbally_abrupt bitch where u been"" Around the world and back. Where you been?","""<user> : <user> bitch where u been"" around the world and back . where you been ?"
